altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
254,17.9,0.0,11.4,40,24.4,33,15.0,2.2,8.9,100,9.4,988.2,16,982.4,19,12.0,11.0,1075.0,1226.0
254,19.4,0.0,11.1,63,27.6,24,15.0,2.8,8.6,117,8.2,983.6,16,978.3,18,8.0,23.0,741.0,537.0
254,20.6,1.2,13.8,50,27.3,53,14.0,6.1,16.1,95,8.0,982.4,7,975.6,19,0.0,0.0,696.0,604.0
254,18.0,0.0,11.9,70,24.1,55,28.0,4.7,12.2,77,11.2,990.2,7,981.6,3,0.0,0.0,258.0,38.0
254,18.6,0.0,12.4,38,24.9,67,33.0,4.7,12.8,100,12.3,991.6,14,987.6,18,9.0,9.0,286.0,401.0
254,19.4,0.0,11.9,47,26.9,22,30.0,4.4,13.3,126,11.9,989.2,20,983.8,13,16.0,8.0,249.0,387.0
254,19.6,0.0,12.4,63,26.8,71,14.0,2.8,11.7,95,9.1,984.3,16,973.0,19,13.0,13.0,418.0,739.0
254,19.8,6.0,13.7,70,26.0,12,21.0,3.9,13.6,108,4.7,976.5,16,969.0,19,18.0,14.0,558.0,707.0
254,19.8,0.4,15.0,27,24.7,22,26.0,3.6,17.5,63,6.2,974.2,3,966.0,0,23.0,11.0,235.0,404.0
254,19.8,0.0,14.6,63,25.0,56,24.0,3.9,15.8,95,3.6,982.1,14,973.7,9,8.0,16.0,218.0,349.0
254,20.3,0.8,15.2,23,25.4,21,28.0,3.1,11.7,21,7.5,989.7,7,982.0,10,14.0,3.0,285.0,333.0
254,21.0,0.0,14.1,68,28.0,33,32.0,1.9,6.9,6,10.3,995.6,7,989.6,15,8.0,22.0,602.0,374.0
254,22.1,0.0,13.5,51,30.7,56,3.0,1.1,6.1,138,11.2,997.8,11,993.3,19,21.0,19.0,824.0,1278.0
254,24.4,0.0,15.6,63,33.3,66,14.0,1.9,7.2,86,11.1,995.9,9,990.5,15,7.0,4.0,2474.0,1568.0
254,23.2,0.0,15.7,40,30.6,56,14.0,3.3,11.1,111,8.0,991.8,16,983.6,18,1.0,1.0,794.0,914.0
254,15.0,14.8,10.5,25,19.4,6,33.0,6.1,15.6,6,2.9,989.5,7,981.9,8,0.0,8.0,577.0,41.0
254,15.0,0.0,9.2,38,20.9,68,32.0,3.9,9.7,70,12.5,992.8,7,989.2,9,9.0,9.0,251.0,361.0
254,17.4,0.0,9.6,38,25.1,16,30.0,1.9,6.9,51,12.4,994.5,14,990.8,18,23.0,22.0,286.0,401.0
254,20.0,0.0,12.4,70,27.6,59,14.0,2.2,8.6,51,4.6,992.3,20,984.6,22,8.0,5.0,995.0,1018.0
254,23.4,0.0,15.8,32,31.1,56,30.0,2.2,12.5,101,12.5,988.6,7,983.7,18,5.0,0.0,508.0,561.0
254,23.6,0.0,15.2,63,31.9,68,31.0,2.5,9.7,44,12.6,991.1,14,987.5,18,18.0,17.0,878.0,701.0
254,25.4,0.0,17.2,38,33.6,32,99.0,2.5,6.9,71,12.7,991.1,9,985.5,19,23.0,14.0,362.0,69.0
